,song_name,lyrics,popularity,release_data,duration,explicit,danceability,energy,loudness,modality,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,stop_word_count,word_count,line_count,avg_words_per_line,cleaned_lyrics,number_of_unique_words,month,year,day
0,Tim McGraw,"He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said Thats a lie
Just a boy in a Chevy truck
That had a tendency of gettin stuck
On back roads at night
And I was right there beside him all summer long
And then the time we woke up to find that summer gone

But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

September saw a month of tears
And thankin God that you werent here
To see me like that
But in a box beneath my bed
Is a letter that you never read
From three summers back
Its hard not to find it all a little bittersweet
And lookin back on all of that its nice to believe

When you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

And Im back for the first time since then
Im standin on your street
And theres a letter left on your doorstep
And the first thing that youll read is

When you think Tim McGraw
I hope you think my favorite song
Someday youll turn your radio on
I hope it takes you back to that place

When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

Oh think of me
Mmmm

He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said Thats a lie
",70,2006-10-24,232106,False,0.58,0.491,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,4,121,313,55,5.6909090909090905,"He said way blue eyes shined
Put Georgia stars shame night
I said Thats lie
Just boy Chevy truck
That tendency gettin stuck
On back roads night
And I right beside summer long
And time woke find summer gone

But think Tim McGraw
I hope think favorite song
The one danced night long
The moon like spotlight lake
When think happiness
I hope think little black dress
Think head chest
And old faded blue jeans
When think Tim McGraw
I hope think me

September saw month tears
And thankin God werent here
To see like that
But box beneath bed
Is letter never read
From three summers back
Its hard find little bittersweet
And lookin back nice believe

When think Tim McGraw
I hope think favorite song
The one danced night long
The moon like spotlight lake
When think happiness
I hope think little black dress
Think head chest
And old faded blue jeans
When think Tim McGraw
I hope think me

And Im back first time since then
Im standin street
And theres letter left doorstep
And first thing youll read is

When think Tim McGraw
I hope think favorite song
Someday youll turn radio on
I hope takes back place

When think happiness
I hope think little black dress
Think head chest
And old faded blue jeans
When think Tim McGraw
I hope think me

Oh think me
Mmmm

He said way blue eyes shined
Put Georgia stars shame night
I said Thats lie
",129,10,2006,24
1,Picture To Burn,"State the obvious I didnt get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that Im obsessive and crazy
Thats fine Ill tell mine that youre gay
By the way

I hate that stupid old pickup truck
You never let me drive
Youre a redneck heartbreak
Whos really bad at lying
So watch me strike a match
On all my wasted time
As far as Im concerned
Youre just another picture to burn

Theres no time for tears
Im just sitting here planning my revenge
Theres nothing stopping me
From going out with all of your best friends
And if you come around saying sorry to me
My daddys gonna show you how sorry youll be

Cause I hate that stupid old pickup truck
You never let me drive
Youre a redneck heartbreak
Whos really bad at lying
So watch me strike a match
On all my wasted time
As far as Im concerned
Youre just another picture to burn

And if youre missing me
Youd better keep it to yourself
Cause coming back around here
Would be bad for your health

Cause I hate that stupid old pickup truck
You never let me drive
Youre a redneck heartbreak
Whos really bad at lying
So watch me strike a match
On all my wasted time
In case you havent heard
I really really hate that

Stupid old pickup truck
You never let me drive
Youre a redneck heartbreak
Whos really bad at lying
So watch me strike a match
On all my wasted time
As far as Im concerned
Youre just another picture to burn

Burn burn burn baby burn
Youre just another picture to burn
Baby burn
",72,2006-10-24,173066,False,0.658,0.877,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586,4,77,242,50,4.84,"State obvious I didnt get perfect fantasy
I realize love could ever love me
So go tell friends Im obsessive crazy
Thats fine Ill tell mine youre gay
By way

I hate stupid old pickup truck
You never let drive
Youre redneck heartbreak
Whos really bad lying
So watch strike match
On wasted time
As far Im concerned
Youre another picture burn

Theres time tears
Im sitting planning revenge
Theres nothing stopping me
From going best friends
And come around saying sorry me
My daddys gonna show sorry youll be

Cause I hate stupid old pickup truck
You never let drive
Youre redneck heartbreak
Whos really bad lying
So watch strike match
On wasted time
As far Im concerned
Youre another picture burn

And youre missing me
Youd better keep yourself
Cause coming back around here
Would bad health

Cause I hate stupid old pickup truck
You never let drive
Youre redneck heartbreak
Whos really bad lying
So watch strike match
On wasted time
In case havent heard
I really really hate that

Stupid old pickup truck
You never let drive
Youre redneck heartbreak
Whos really bad lying
So watch strike match
On wasted time
As far Im concerned
Youre another picture burn

Burn burn burn baby burn
Youre another picture burn
Baby burn
",117,10,2006,24
2,Teardrops On My Guitar,"Drew looks at me
I fake a smile so he wont see
That I want and Im needing
Everything that we should be

Ill bet shes beautiful that girl he talks about
And shes got everything that I have to live without

Drew talks to me
I laugh cause its just so funny
That I cant even see
Anyone when hes with me

He says hes so in love hes finally got it right
I wonder if he knows hes all I think about at night

Hes the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
Hes the song in the car I keep singing Dont know why I do

Drew walks by me
Can he tell that I cant breathe
And there he goes so perfectly
The kind of flawless I wish I could be

Shed better hold him tight give him all her love
Look in those beautiful eyes and know shes lucky cause

Hes the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
Hes the song in the car I keep singing Dont know why I do

So I drive home alone
As I turn out the light
Ill put his picture down
And maybe get some sleep tonight

Cause hes the reason for the teardrops on my guitar
The only one whos got enough of me to break my heart
Hes the song in the car I keep singing Dont know why I do

Hes the time taken up but theres never enough
And hes all that I need to fall into

Drew looks at me
I fake a smile so he wont see
",69,2006-10-24,203040,False,0.621,0.417,-6.941,1,0.0231,0.288,0.0,0.119,0.289,99.953,4,97,254,35,7.257142857142857,"Drew looks me
I fake smile wont see
That I want Im needing
Everything be

Ill bet shes beautiful girl talks about
And shes got everything I live without

Drew talks me
I laugh cause funny
That I cant even see
Anyone hes me

He says hes love hes finally got right
I wonder knows hes I think night

Hes reason teardrops guitar
The thing keeps wishing wishing star
Hes song car I keep singing Dont know I do

Drew walks me
Can tell I cant breathe
And goes perfectly
The kind flawless I wish I could be

Shed better hold tight give love
Look beautiful eyes know shes lucky cause

Hes reason teardrops guitar
The thing keeps wishing wishing star
Hes song car I keep singing Dont know I do

So I drive home alone
As I turn light
Ill put picture down
And maybe get sleep tonight

Cause hes reason teardrops guitar
The one whos got enough break heart
Hes song car I keep singing Dont know I do

Hes time taken theres never enough
And hes I need fall into

Drew looks me
I fake smile wont see
",138,10,2006,24
3,A Place In This World,"I dont know what I want so dont ask me
Cause Im still trying to figure it out
Dont know whats down this road Im just walking
Trying to see through the rain coming down
Even though Im not the only one
Who feels the way I do

Im alone on my own and thats all I know
Ill be strong Ill be wrong oh but life goes on
Oh Im just a girl trying to find a place in this world

Got the radio on my old blue jeans
And Im wearing my heart on my sleeve
Feeling lucky today got the sunshine
Could you tell me what more do I need
And tomorrows just a mystery oh yeah
But thats OK

Im alone on my own and thats all I know
Ill be strong Ill be wrong oh but life goes on
Oh Im just a girl trying to find a place in this world

Maybe Im just a girl on a mission
But Im ready to fly

Im alone on my own and thats all I know
Ill be strong Ill be wrong oh but life goes on
Oh Im alone on my own and thats all I know
Oh Im just a girl trying to find a place in this world

Oh Im just a girl
Oh Im just a girl oh oh
Oh Im just a girl
",59,2006-10-24,199200,False,0.576,0.777,-2.881,1,0.0324,0.051,0.0,0.32,0.428,115.028,4,86,206,27,7.62962962962963,"I dont know I want dont ask me
Cause Im still trying figure out
Dont know whats road Im walking
Trying see rain coming down
Even though Im one
Who feels way I do

Im alone thats I know
Ill strong Ill wrong oh life goes on
Oh Im girl trying find place world

Got radio old blue jeans
And Im wearing heart sleeve
Feeling lucky today got sunshine
Could tell I need
And tomorrows mystery oh yeah
But thats OK

Im alone thats I know
Ill strong Ill wrong oh life goes on
Oh Im girl trying find place world

Maybe Im girl mission
But Im ready fly

Im alone thats I know
Ill strong Ill wrong oh life goes on
Oh Im alone thats I know
Oh Im girl trying find place world

Oh Im girl
Oh Im girl oh oh
Oh Im girl
",88,10,2006,24
4,Cold As You,"You have a way of coming easily to me
And when you take you take the very best of me
So I start a fight cause I need to feel something
And you do what you want cause Im not what you wanted

Oh what a shame what a rainy ending given to a perfect day
Just walk away aint no use defending words that you will never say
And now that Im sitting here thinking it through
Ive never been anywhere cold as you

You put up walls and paint them all a shade of gray
And I stood there loving you and wished them all away
And you come away with a great little story
Of a mess of a dreamer with the nerve to adore you

Oh what a shame what a rainy ending given to a perfect day
So just walk away aint no use defending words that you will never say
And now that Im sitting here thinking it through
Ive never been anywhere cold as you

You never did give a damn thing honey but I cried cried for you
And I know you wouldnt have told nobody if I died died for you died for you

Oh what a shame what a rainy ending given to a perfect day
Every smile you fake is so condescending counting all the scars you made
And now that Im sitting here thinking it through
Ive never been anywhere cold as you
",59,2006-10-24,239013,False,0.418,0.482,-5.769,1,0.0266,0.217,0.0,0.123,0.261,175.558,4,100,224,22,10.181818181818182,"You way coming easily me
And take take best me
So I start fight cause I need feel something
And want cause Im wanted

Oh shame rainy ending given perfect day
Just walk away aint use defending words never say
And Im sitting thinking through
Ive never anywhere cold you

You put walls paint shade gray
And I stood loving wished away
And come away great little story
Of mess dreamer nerve adore you

Oh shame rainy ending given perfect day
So walk away aint use defending words never say
And Im sitting thinking through
Ive never anywhere cold you

You never give damn thing honey I cried cried you
And I know wouldnt told nobody I died died died you

Oh shame rainy ending given perfect day
Every smile fake condescending counting scars made
And Im sitting thinking through
Ive never anywhere cold you
",107,10,2006,24
5,The Outside,"I didnt know what I would find
When I went looking for a reason
I know I didnt read between the lines
And baby Ive got nowhere to go

I tried to take the road less traveled by
But nothing seems to work the first few times
Am I right

So how can I ever try to be better
Nobody ever lets me in
I can still see you
This aint the best view
On the outside looking in
And Ive been a lot of lonely places
Ive never been on the outside

You saw me there but never knew
That I would give it all up to be
A part of this a part of you
And now its all too late So you see

You couldve helped if you had wanted to
But no one notices until its too late to do anything

So how can I ever try to be better
Nobody ever lets me in
I can still see you
This aint the best view
On the outside looking in
And Ive been a lot of lonely places
Ive never been on the outside

Oh yeah

So how can I ever try to be better
Nobody ever lets me in
And I can still see you
This aint the best view
On the outside looking in
And Ive been a lot of lonely places
Ive never been on the outside
",57,2006-10-24,207106,False,0.589,0.805,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.982,4,78,200,35,5.714285714285714,"I didnt know I would find
When I went looking reason
I know I didnt read lines
And baby Ive got nowhere go

I tried take road less traveled by
But nothing seems work first times
Am I right

So I ever try better
Nobody ever lets in
I still see you
This aint best view
On outside looking in
And Ive lot lonely places
Ive never outside

You saw never knew
That I would give be
A part part you
And late So see

You couldve helped wanted to
But one notices late anything

So I ever try better
Nobody ever lets in
I still see you
This aint best view
On outside looking in
And Ive lot lonely places
Ive never outside

Oh yeah

So I ever try better
Nobody ever lets in
And I still see you
This aint best view
On outside looking in
And Ive lot lonely places
Ive never outside
",95,10,2006,24
6,Tied Together With A Smile,"Seems the only one who doesnt see your beauty
Is the face in the mirror looking back at you
You walk around here thinking youre not pretty
But thats not true cause I know you

Hold on baby youre losing it
The waters high youre jumping into it
And letting go
And no one knows
That you cry but you dont tell anyone
That you might not be the golden one
And youre tied together with a smile
But youre coming undone

I guess its true that love was all you wanted
Cause youre giving it away like its extra change
Hoping it will end up in his pocket
But he leaves you out like a penny in the rain

Oh cause its not his price to pay
Its not his price to pay

Hold on baby youre losing it
The waters high youre jumping into it
And letting go
And no one knows
That you cry but you dont tell anyone
That you might not be the golden one
And youre tied together with a smile
But youre coming undone

Hold on baby youre losing it
The waters high youre jumping into it
And letting go
And no one knows
That you cry but you dont tell anyone
That you might not be the golden one
And youre tied together with a smile
But youre coming undone

Youre tied together with a smile
But youre coming undone
Goodbye baby
With a smile baby baby
",58,2006-10-24,248106,False,0.479,0.578,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165,4,75,208,38,5.473684210526316,"Seems one doesnt see beauty
Is face mirror looking back you
You walk around thinking youre pretty
But thats true cause I know you

Hold baby youre losing it
The waters high youre jumping it
And letting go
And one knows
That cry dont tell anyone
That might golden one
And youre tied together smile
But youre coming undone

I guess true love wanted
Cause youre giving away like extra change
Hoping end pocket
But leaves like penny rain

Oh cause price pay
Its price pay

Hold baby youre losing it
The waters high youre jumping it
And letting go
And one knows
That cry dont tell anyone
That might golden one
And youre tied together smile
But youre coming undone

Hold baby youre losing it
The waters high youre jumping it
And letting go
And one knows
That cry dont tell anyone
That might golden one
And youre tied together smile
But youre coming undone

Youre tied together smile
But youre coming undone
Goodbye baby
With smile baby baby
",94,10,2006,24
7,Stay Beautiful,"Corys eyes are like a jungle
He smiles its like the radio
He whispers songs into my window
In words that nobody knows
Theres pretty girls on every corner
That watch him as hes walking home
Saying Does he know
Will you ever know

Youre beautiful
Every little piece love
And dont you know
Youre really gonna be someone
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh but if it dont
Stay beautiful

Cory finds another way to be
The highlight of my day
Im taking pictures in my mind
So I can save them for a rainy day
Its hard to make a conversation
When hes taking my breath away
I should say hey by the way

Youre beautiful
Every little piece love
And dont you know
Youre really gonna be someone
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh but if it dont
Stay beautiful

If you and I are a story
That never gets told
If what you are is a daydream
Ill never get to hold
At least youll know

Youre beautiful
Every little piece love
And dont you know
Youre really gonna be someone
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my front door
Oh but if it dont
Will you stay
Beautiful beautiful beautiful
Beautiful beautiful beautiful
La la la
Oh oh oh oh
Oh but if it dont
Stay beautiful
Stay beautiful
Na na na na na
",58,2006-10-24,236053,False,0.594,0.629,-4.919,1,0.0246,0.0868,0.0,0.137,0.504,131.597,4,77,217,55,3.9454545454545453,"Corys eyes like jungle
He smiles like radio
He whispers songs window
In words nobody knows
Theres pretty girls every corner
That watch hes walking home
Saying Does know
Will ever know

Youre beautiful
Every little piece love
And dont know
Youre really gonna someone
Ask anyone
And find everything looked for
I hope life leads back door
Oh dont
Stay beautiful

Cory finds another way be
The highlight day
Im taking pictures mind
So I save rainy day
Its hard make conversation
When hes taking breath away
I say hey way

Youre beautiful
Every little piece love
And dont know
Youre really gonna someone
Ask anyone
And find everything looked for
I hope life leads back door
Oh dont
Stay beautiful

If I story
That never gets told
If daydream
Ill never get hold
At least youll know

Youre beautiful
Every little piece love
And dont know
Youre really gonna someone
Ask anyone
And find everything looked for
I hope life leads back front door
Oh dont
Will stay
Beautiful beautiful beautiful
Beautiful beautiful beautiful
La la la
Oh oh oh oh
Oh dont
Stay beautiful
Stay beautiful
Na na na na na
",125,10,2006,24
8,Should've Said No,"Its strange to think the songs we used to sing
The smiles the flowers everything is gone
Yesterday I found out about you
Even now just looking at you feels wrong

You say that youd take it all back given one chance
It was a moment of weakness and you said Yes

You shouldve said No you shouldve gone home
You shouldve thought twice fore you let it all go
You shouldve known that word
Bout what you did with herd
Get back to me get back to me
And I shouldve been there in the back of your mind
I shouldnt be asking myself Why
You shouldnt be begging for forgiveness at my feet
You shouldve said No baby and you might still have me

You can see that Ive been crying
And baby you know all the right things to say
But do you honestly expect me to believe
We could ever be the same

You say that the past is the past you need one chance
It was a moment of weakness and you said Yes

You shouldve said No you shouldve gone home
You shouldve thought twice fore you let it all go
You shouldve known that word
Bout what you did with herd
Get back to me get back to me
And I shouldve been there in the back of your mind
I shouldnt be asking myself Why
You shouldnt be begging for forgiveness at my feet
You shouldve said No baby and you might still have me

I cant resist
Before you go tell me this
Was it worth it
Was she worth this

No no no no

You shouldve said No you shouldve gone home
You shouldve thought twice fore you let it all go
You shouldve known that word
Bout what you did with herd
Get back to me get back to me
And I shouldve been there in the back of your mind
I shouldnt be asking myself Why
You shouldnt be begging for forgiveness at my feet
You shouldve said No baby and you might still have me
",68,2006-10-24,242200,False,0.476,0.777,-3.771,0,0.0289,0.0103,0.0,0.196,0.472,167.964,4,130,305,44,6.931818181818182,"Its strange think songs used sing
The smiles flowers everything gone
Yesterday I found you
Even looking feels wrong

You say youd take back given one chance
It moment weakness said Yes

You shouldve said No shouldve gone home
You shouldve thought twice fore let go
You shouldve known word
Bout herd
Get back get back me
And I shouldve back mind
I shouldnt asking Why
You shouldnt begging forgiveness feet
You shouldve said No baby might still me

You see Ive crying
And baby know right things say
But honestly expect believe
We could ever same

You say past past need one chance
It moment weakness said Yes

You shouldve said No shouldve gone home
You shouldve thought twice fore let go
You shouldve known word
Bout herd
Get back get back me
And I shouldve back mind
I shouldnt asking Why
You shouldnt begging forgiveness feet
You shouldve said No baby might still me

I cant resist
Before go tell this
Was worth it
Was worth this

No no

You shouldve said No shouldve gone home
You shouldve thought twice fore let go
You shouldve known word
Bout herd
Get back get back me
And I shouldve back mind
I shouldnt asking Why
You shouldnt begging forgiveness feet
You shouldve said No baby might still me
",113,10,2006,24
9,Mary's Song (Oh My My My),"She said I was seven and you were nine
I looked at you like the stars that shined
In the sky the pretty lights
And our daddies used to joke about the two of us
Growing up and falling in love and our mamas smiled
And rolled their eyes and said Oh my my my

Take me back to the house in the backyard tree
Said youd beat me up you were bigger than me
You never did you never did
Take me back when our world was one block wide
I dared you to kiss me and ran when you tried
Just two kids you and I
Oh my my my my

Well I was sixteen when suddenly
I wasnt that little girl you used to see
But your eyes still shined like pretty lights
And our daddies used to joke about the two of us
They never believed wed really fall in love
And our mamas smiled and rolled their eyes
And said Oh my my my

Take me back to the creek beds we turned up
Two AM riding in your truck and all I need is you next to me
Take me back to the time we had our very first fight
The slamming of doors instead of kissing goodnight
You stayed outside til the morning light
Oh my my my my

A few years had gone and come around
We were sitting at our favorite spot in town
And you looked at me got down on one knee

Take me back to the time when we walked down the aisle
Our whole town came and our mamas cried
You said I do and I did too
Take me home where we met so many years before
Well rock our babies on that very front porch
After all this time you and I

Ill be eightyseven youll be eightynine
Ill still look at you like the stars that shine
In the sky oh my my my
",60,2006-10-24,213080,False,0.403,0.627,-5.28,1,0.0292,0.0177,0.0,0.182,0.374,74.9,4,137,293,38,7.7105263157894735,"She said I seven nine
I looked like stars shined
In sky pretty lights
And daddies used joke two us
Growing falling love mamas smiled
And rolled eyes said Oh my

Take back house backyard tree
Said youd beat bigger me
You never never did
Take back world one block wide
I dared kiss ran tried
Just two kids I
Oh my

Well I sixteen suddenly
I wasnt little girl used see
But eyes still shined like pretty lights
And daddies used joke two us
They never believed wed really fall love
And mamas smiled rolled eyes
And said Oh my

Take back creek beds turned up
Two AM riding truck I need next me
Take back time first fight
The slamming doors instead kissing goodnight
You stayed outside til morning light
Oh my

A years gone come around
We sitting favorite spot town
And looked got one knee

Take back time walked aisle
Our whole town came mamas cried
You said I I too
Take home met many years before
Well rock babies front porch
After time I

Ill eightyseven youll eightynine
Ill still look like stars shine
In sky oh my
",153,10,2006,24
