,song_name,lyrics,stop_word_count,word_count,line_count,words_per_line,number_of_unique_words,duration,playcount,genre,rating
0,Tim McGraw,"He said way blue eyes shined
Put Georgia stars shame night
I said Thats lie
Just boy Chevy truck
That tendency gettin stuck
On back roads night
And I right beside summer long
And time woke find summer gone

But think Tim McGraw
I hope think favorite song
The one danced night long
The moon like spotlight lake
When think happiness
I hope think little black dress
Think head chest
And old faded blue jeans
When think Tim McGraw
I hope think me

September saw month tears
And thankin God werent here
To see like that
But box beneath bed
Is letter never read
From three summers back
Its hard find little bittersweet
And lookin back nice believe

When think Tim McGraw
I hope think favorite song
The one danced night long
The moon like spotlight lake
When think happiness
I hope think little black dress
Think head chest
And old faded blue jeans
When think Tim McGraw
I hope think me

And Im back first time since then
Im standin street
And theres letter left doorstep
And first thing youll read is

When think Tim McGraw
I hope think favorite song
Someday youll turn radio on
I hope takes back place

When think happiness
I hope think little black dress
Think head chest
And old faded blue jeans
When think Tim McGraw
I hope think me

Oh think me
Mmmm

He said way blue eyes shined
Put Georgia stars shame night
I said Thats lie
",121,313,55,5.6909090909090905,107,0,2372407,"['country', 'taylor swift', 'female vocalists', 'Love', 'contemporary country']",7.288120128902638
1,Picture To Burn,"State obvious I didnt get perfect fantasy
I realize love could ever love me
So go tell friends Im obsessive crazy
Thats fine Ill tell mine youre gay
By way

I hate stupid old pickup truck
You never let drive
Youre redneck heartbreak
Whos really bad lying
So watch strike match
On wasted time
As far Im concerned
Youre another picture burn

Theres time tears
Im sitting planning revenge
Theres nothing stopping me
From going best friends
And come around saying sorry me
My daddys gonna show sorry youll be

Cause I hate stupid old pickup truck
You never let drive
Youre redneck heartbreak
Whos really bad lying
So watch strike match
On wasted time
As far Im concerned
Youre another picture burn

And youre missing me
Youd better keep yourself
Cause coming back around here
Would bad health

Cause I hate stupid old pickup truck
You never let drive
Youre redneck heartbreak
Whos really bad lying
So watch strike match
On wasted time
In case havent heard
I really really hate that

Stupid old pickup truck
You never let drive
Youre redneck heartbreak
Whos really bad lying
So watch strike match
On wasted time
As far Im concerned
Youre another picture burn

Burn burn burn baby burn
Youre another picture burn
Baby burn
",77,242,50,4.84,96,0,3340907,"['country', 'taylor swift', 'catchy', 'pop', 'Picture To Burn']",8.629088664352425
2,Teardrops On My Guitar,"Drew looks me
I fake smile wont see
That I want Im needing
Everything be

Ill bet shes beautiful girl talks about
And shes got everything I live without

Drew talks me
I laugh cause funny
That I cant even see
Anyone hes me

He says hes love hes finally got right
I wonder knows hes I think night

Hes reason teardrops guitar
The thing keeps wishing wishing star
Hes song car I keep singing Dont know I do

Drew walks me
Can tell I cant breathe
And goes perfectly
The kind flawless I wish I could be

Shed better hold tight give love
Look beautiful eyes know shes lucky cause

Hes reason teardrops guitar
The thing keeps wishing wishing star
Hes song car I keep singing Dont know I do

So I drive home alone
As I turn light
Ill put picture down
And maybe get sleep tonight

Cause hes reason teardrops guitar
The one whos got enough break heart
Hes song car I keep singing Dont know I do

Hes time taken theres never enough
And hes I need fall into

Drew looks me
I fake smile wont see
",97,254,35,7.257142857142857,103,0,1803597,"['country', 'taylor swift', 'female vocalists', 'pop', 'Teardrops on my guitar']",7.296163399380254
3,A Place In This World,"I dont know I want dont ask me
Cause Im still trying figure out
Dont know whats road Im walking
Trying see rain coming down
Even though Im one
Who feels way I do

Im alone thats I know
Ill strong Ill wrong oh life goes on
Oh Im girl trying find place world

Got radio old blue jeans
And Im wearing heart sleeve
Feeling lucky today got sunshine
Could tell I need
And tomorrows mystery oh yeah
But thats OK

Im alone thats I know
Ill strong Ill wrong oh life goes on
Oh Im girl trying find place world

Maybe Im girl mission
But Im ready fly

Im alone thats I know
Ill strong Ill wrong oh life goes on
Oh Im alone thats I know
Oh Im girl trying find place world

Oh Im girl
Oh Im girl oh oh
Oh Im girl
",86,206,27,7.62962962962963,68,0,1351438,"['country', 'taylor swift', 'country pop', 'female vocalists', 'A Place In This World']",6.229576055941993
4,Cold As You,"You way coming easily me
And take take best me
So I start fight cause I need feel something
And want cause Im wanted

Oh shame rainy ending given perfect day
Just walk away aint use defending words never say
And Im sitting thinking through
Ive never anywhere cold you

You put walls paint shade gray
And I stood loving wished away
And come away great little story
Of mess dreamer nerve adore you

Oh shame rainy ending given perfect day
So walk away aint use defending words never say
And Im sitting thinking through
Ive never anywhere cold you

You never give damn thing honey I cried cried you
And I know wouldnt told nobody I died died died you

Oh shame rainy ending given perfect day
Every smile fake condescending counting scars made
And Im sitting thinking through
Ive never anywhere cold you
",100,224,22,10.181818181818182,76,0,1567530,"['country', 'taylor swift', 'female vocalists', 'country pop', 'pop']",7.2121078275752595
5,The Outside,"I didnt know I would find
When I went looking reason
I know I didnt read lines
And baby Ive got nowhere go

I tried take road less traveled by
But nothing seems work first times
Am I right

So I ever try better
Nobody ever lets in
I still see you
This aint best view
On outside looking in
And Ive lot lonely places
Ive never outside

You saw never knew
That I would give be
A part part you
And late So see

You couldve helped wanted to
But one notices late anything

So I ever try better
Nobody ever lets in
I still see you
This aint best view
On outside looking in
And Ive lot lonely places
Ive never outside

Oh yeah

So I ever try better
Nobody ever lets in
And I still see you
This aint best view
On outside looking in
And Ive lot lonely places
Ive never outside
",78,200,35,5.714285714285714,69,228000,1146990,"['country', 'taylor swift', 'female vocalists', 'pop', 'country pop']",6.270686063866428
6,Tied Together With A Smile,"Seems one doesnt see beauty
Is face mirror looking back you
You walk around thinking youre pretty
But thats true cause I know you

Hold baby youre losing it
The waters high youre jumping it
And letting go
And one knows
That cry dont tell anyone
That might golden one
And youre tied together smile
But youre coming undone

I guess true love wanted
Cause youre giving away like extra change
Hoping end pocket
But leaves like penny rain

Oh cause price pay
Its price pay

Hold baby youre losing it
The waters high youre jumping it
And letting go
And one knows
That cry dont tell anyone
That might golden one
And youre tied together smile
But youre coming undone

Hold baby youre losing it
The waters high youre jumping it
And letting go
And one knows
That cry dont tell anyone
That might golden one
And youre tied together smile
But youre coming undone

Youre tied together smile
But youre coming undone
Goodbye baby
With smile baby baby
",75,208,38,5.473684210526316,69,0,1157405,"['country', 'taylor swift', 'female vocalists', 'country pop', 'pop']",6.30982560009595
7,Stay Beautiful,"Corys eyes like jungle
He smiles like radio
He whispers songs window
In words nobody knows
Theres pretty girls every corner
That watch hes walking home
Saying Does know
Will ever know

Youre beautiful
Every little piece love
And dont know
Youre really gonna someone
Ask anyone
And find everything looked for
I hope life leads back door
Oh dont
Stay beautiful

Cory finds another way be
The highlight day
Im taking pictures mind
So I save rainy day
Its hard make conversation
When hes taking breath away
I say hey way

Youre beautiful
Every little piece love
And dont know
Youre really gonna someone
Ask anyone
And find everything looked for
I hope life leads back door
Oh dont
Stay beautiful

If I story
That never gets told
If daydream
Ill never get hold
At least youll know

Youre beautiful
Every little piece love
And dont know
Youre really gonna someone
Ask anyone
And find everything looked for
I hope life leads back front door
Oh dont
Will stay
Beautiful beautiful beautiful
Beautiful beautiful beautiful
La la la
Oh oh oh oh
Oh dont
Stay beautiful
Stay beautiful
Na na na na na
",77,217,55,3.9454545454545453,98,0,1257720,"['country', 'taylor swift', 'female vocalists', 'love songs', 'pop']",6.372203307392996
8,Should've Said No,"Its strange think songs used sing
The smiles flowers everything gone
Yesterday I found you
Even looking feels wrong

You say youd take back given one chance
It moment weakness said Yes

You shouldve said No shouldve gone home
You shouldve thought twice fore let go
You shouldve known word
Bout herd
Get back get back me
And I shouldve back mind
I shouldnt asking Why
You shouldnt begging forgiveness feet
You shouldve said No baby might still me

You see Ive crying
And baby know right things say
But honestly expect believe
We could ever same

You say past past need one chance
It moment weakness said Yes

You shouldve said No shouldve gone home
You shouldve thought twice fore let go
You shouldve known word
Bout herd
Get back get back me
And I shouldve back mind
I shouldnt asking Why
You shouldnt begging forgiveness feet
You shouldve said No baby might still me

I cant resist
Before go tell this
Was worth it
Was worth this

No no

You shouldve said No shouldve gone home
You shouldve thought twice fore let go
You shouldve known word
Bout herd
Get back get back me
And I shouldve back mind
I shouldnt asking Why
You shouldnt begging forgiveness feet
You shouldve said No baby might still me
",130,305,44,6.931818181818182,83,0,2711988,"['country', 'taylor swift', 'pop', 'female vocalists', 'Love']",8.231290576162538
9,Mary's Song (Oh My My My),"She said I seven nine
I looked like stars shined
In sky pretty lights
And daddies used joke two us
Growing falling love mamas smiled
And rolled eyes said Oh my

Take back house backyard tree
Said youd beat bigger me
You never never did
Take back world one block wide
I dared kiss ran tried
Just two kids I
Oh my

Well I sixteen suddenly
I wasnt little girl used see
But eyes still shined like pretty lights
And daddies used joke two us
They never believed wed really fall love
And mamas smiled rolled eyes
And said Oh my

Take back creek beds turned up
Two AM riding truck I need next me
Take back time first fight
The slamming doors instead kissing goodnight
You stayed outside til morning light
Oh my

A years gone come around
We sitting favorite spot town
And looked got one knee

Take back time walked aisle
Our whole town came mamas cried
You said I I too
Take home met many years before
Well rock babies front porch
After time I

Ill eightyseven youll eightynine
Ill still look like stars shine
In sky oh my
",137,293,38,7.7105263157894735,124,0,1446271,"['country', 'taylor swift', 'pop', 'female vocalists', 'country pop']",7.37009707748363
10,Our Song,"I riding shotgun
With hair undone
In front seat car
Hes got onehand feel
On steering wheel
The heart
I look around turn radio down
He says Baby something wrong
I say Nothing
I thinking
How dont song
And says

Our song slamming screen door
Sneakin late tapping window
When phone talk real slow
Cause late mama dont know
Our song way laugh
The first date Man I didnt kiss I have
And I got home  fore I said Amen
Asking God could play again

I walking up
The front porch steps
After everything day
Had gone wrong
And trampled on
And lost thrown away
Got hallway
Well way
To lovin bed
I almost didnt notice
All roses
And note said

Our song slamming screen door
Sneakin late tapping window
When phone talk real slow
Cause late mama dont know
Our song way laugh
The first date Man I didnt kiss I have
And I got home  fore I said Amen
Asking God could play again

Ive heard every album listened radio
Waited something come along
That good song

Cause song slamming screen door
Sneakin late tapping window
When phone talks real slow
Cause late mama dont know
Our song way laughs
The first date Man I didnt kiss I have
And I got home  fore I said Amen
Asking God could play again
Play again

Oh yeah
Ohoh yeah

I riding shotgun
With hair undone
In front seat car
I grabbed pen
And old napkin
And I wrote song
",119,313,60,5.216666666666667,115,199000,4157935,"['country', 'taylor swift', 'female vocalists', 'Love', 'pop']",8.202155318662069
11,I'm Only Me When I'm With You,"Friday night beneath stars
In field behind yard
You I paintin pictures sky
And sometimes dont say thing
Just listen crickets sing
Everything I need right side

And I know everything you
I dont wanna live without you

Im youre down
Dont wanna fly youre still ground
Its like matter I do
Well drive crazy half time
The half Im tryna let know I feel true
And Im Im you

Just small town boy girl
Livin crazy world
Tryna figure isnt true
And I dont try hide tears
My secrets deepest fears
Through nobody gets like do

And know everything me
You say cant live without me

Im youre down
Dont wanna fly youre still ground
Its like matter I do
Well drive crazy half time
The half Im tryna let know I feel true
And Im Im you

When Im anybody else
Its hard myself
And tell

That Im youre down
Dont wanna fly youre still ground
Its like matter I do
Well drive crazy half time
The half Im tryna let know I feel true
And Im me
Who I wanna be
Well Im Im you
With you
",110,261,40,6.525,84,0,1480899,"['country', 'taylor swift', 'female vocalists', 'pop', 'good']",7.344271969847252
12,Invisible,"She cant see way eyes
Light smile
Shell never notice stop stare
Whenever walks by

And cant see wantin way want her
But everything me

And I wanna show you
She dont even know you
Shes never gonna love like I want to
And see right me
But knew me
We could beautiful
Miracle
Unbelievable
Instead invisible

Theres fire inside you
That cant help shine through
Shes never gonna see light
No matter do

And I think make think me
And everything could be

I wanna show you
She dont even know you
Shes never gonna love like I want to
And see right me
But knew me
We could beautiful
Miracle
Unbelievable
Instead invisible

Like shadows faded light
Oh invisible
I wanna open eyes
And make realize

I wanna show you
She dont even know you
Baby let love you
Let want you
You see right me
But knew me
We could beautiful
Miracle
Unbelievable
Instead invisible

She cant see way eyes
Light smile
",79,199,46,4.326086956521739,67,0,1075788,"['country', 'female vocalists', 'taylor swift', 'invisible', 'sad']",6.709961516151366
